,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
5,2023-09-19,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,fr Paris S-G,0.7,2.4,33.0,47379.0,Emre Can,3-5-2,Jesús Gil,Match Report,,14.0,1.0,19.0,0.0,0,0,2024,Dortmund
8,2023-10-04,21:00,Champions Lg,Group stage,Wed,Home,D,0.0,0.0,it Milan,1.0,1.6,57.0,81365.0,Emre Can,4-2-3-1,Szymon Marciniak,Match Report,,18.0,3.0,20.2,2.0,0,0,2024,Dortmund
11,2023-10-25,20:00,Champions Lg,Group stage,Wed,Away,W,1.0,0.0,eng Newcastle Utd,1.8,1.1,41.0,52024.0,Emre Can,4-3-3,Artur Soares Dias,Match Report,,13.0,5.0,17.4,0.0,0,0,2024,Dortmund
15,2023-11-07,18:45,Champions Lg,Group stage,Tue,Home,W,2.0,0.0,eng Newcastle Utd,1.4,0.6,46.0,81365.0,Gregor Kobel,4-2-3-1,Alejandro Hernández,Match Report,,17.0,8.0,19.6,0.0,0,0,2024,Dortmund
18,2023-11-28,21:00,Champions Lg,Group stage,Tue,Away,W,3.0,1.0,it Milan,1.8,2.1,46.0,75292.0,Emre Can,4-2-3-1,István Kovács,Match Report,,11.0,3.0,18.7,0.0,1,1,2024,Dortmund
22,2023-12-13,21:00,Champions Lg,Group stage,Wed,Home,D,1.0,1.0,fr Paris S-G,1.4,2.8,41.0,81365.0,Gregor Kobel,4-2-3-1,Glenn Nyberg,Match Report,,10.0,6.0,19.3,0.0,0,0,2024,Dortmund
31,2024-02-20,21:00,Champions Lg,Round of 16,Tue,Away,D,1.0,1.0,nl PSV Eindhoven,0.9,1.6,45.0,34950.0,Emre Can,4-2-3-1,Srđan Jovanović,Match Report,Leg 1 of 2,8.0,5.0,13.3,0.0,0,0,2024,Dortmund
35,2024-03-13,21:00,Champions Lg,Round of 16,Wed,Home,W,2.0,0.0,nl PSV Eindhoven,1.5,1.5,48.0,81365.0,Emre Can,4-2-3-1,Daniele Orsato,Match Report,Leg 2 of 2; Dortmund won,15.0,7.0,13.0,0.0,0,0,2024,Dortmund
39,2024-04-10,21:00,Champions Lg,Quarter-finals,Wed,Away,L,1.0,2.0,es Atlético Madrid,0.9,2.2,66.0,68641.0,Emre Can,4-2-3-1,Marco Guida,Match Report,Leg 1 of 2,12.0,4.0,18.8,1.0,0,0,2024,Dortmund
41,2024-04-16,21:00,Champions Lg,Quarter-finals,Tue,Home,W,4.0,2.0,es Atlético Madrid,1.5,1.9,52.0,,Emre Can,4-2-3-1,Slavko Vinčič,Match Report,Leg 2 of 2; Dortmund won,19.0,9.0,16.9,0.0,0,0,2024,Dortmund
